Data,Dia da Semana,Mês,Nome da Fruta,Categoria,Quantidade Vendida (kg),Preço por Kg (R$),Receita (R$),Vendedor,Feira,Forma de Pagamento,Promoção?,Clima,Observações
2024-01-01,Monday,January,Abacaxi,Tropical,20.5,4.8,98.4,Maria Frutas,Feira da Estação,Pix,Não,Chuvoso,Pouco movimento
2024-01-01,Monday,January,Limão,Cítrica,44.8,2.2,98.56,Carlos Natureza,Feira do Parque,Cartão Débito,Sim,Nublado,Boa procura
2024-01-01,Monday,January,Laranja,Cítrica,9.3,3.8,35.34,João da Fruta,Feira Central,Cartão Crédito,Não,Nublado,Vendas médias
2024-01-01,Monday,January,Maçã,Temperada,26.4,5.0,132.0,João da Fruta,Feira do Parque,Pix,Sim,Chuvoso,Vendas médias
2024-01-02,Tuesday,January,Banana,Tropical,16.8,3.5,58.8,João da Fruta,Feira Central,Cartão Débito,Não,Nublado,Pouco movimento
2024-01-02,Tuesday,January,Maçã,Temperada,34.6,5.0,173.0,Maria Frutas,Feira Central,Dinheiro,Não,Nublado,Vendas médias
2024-01-02,Tuesday,January,Coco,Tropical,45.4,3.7,167.98,Carlos Natureza,Feira Bairro Novo,Cartão Débito,Não,Chuvoso,Pouco movimento
2024-01-02,Tuesday,January,Manga,Tropical,7.8,4.2,32.76,João da Fruta,Feira Bairro Novo,Cartão Crédito,Não,Ensolarado,Concorrência alta
2024-01-02,Tuesday,January,Melancia,Tropical,29.7,2.5,74.25,Ana Tropical,Feira do Parque,Cartão Débito,Sim,Chuvoso,Pouco movimento
2024-01-02,Tuesday,January,Kiwi,Temperada,41.7,6.5,271.05,Ana Tropical,Feira do Parque,Cartão Crédito,Não,Ensolarado,Pouco movimento
2024-01-03,Wednesday,January,Laranja,Cítrica,38.0,3.8,144.4,João da Fruta,Feira Central,Cartão Crédito,Não,Nublado,Concorrência alta
2024-01-03,Wednesday,January,Laranja,Cítrica,36.1,3.8,137.18,Carlos Natureza,Feira do Parque,Cartão Crédito,Sim,Chuvoso,Produto fresco
2024-01-03,Wednesday,January,Banana,Tropical,41.9,3.5,146.65,Maria Frutas,Feira da Estação,Cartão Crédito,Sim,Chuvoso,Boa procura
2024-01-03,Wednesday,January,Melancia,Tropical,39.1,2.5,97.75,Carlos Natureza,Feira Central,Cartão Débito,Sim,Ensolarado,Pouco movimento
2024-01-04,Thursday,January,Manga,Tropical,45.3,4.2,190.26,João da Fruta,Feira Central,Dinheiro,Sim,Chuvoso,Vendas médias
2024-01-04,Thursday,January,Uva,Temperada,40.8,7.0,285.6,Ana Tropical,Feira da Estação,Cartão Crédito,Sim,Ensolarado,Boa procura
2024-01-04,Thursday,January,Coco,Tropical,26.1,3.7,96.57,Ana Tropical,Feira Bairro Novo,Pix,Não,Ensolarado,Pouco movimento
2024-01-04,Thursday,January,Mamão,Tropical,6.6,3.0,19.8,Carlos Natureza,Feira da Estação,Cartão Crédito,Não,Nublado,Produto fresco
2024-01-05,Friday,January,Mamão,Tropical,29.9,3.0,89.7,João da Fruta,Feira Central,Pix,Não,Chuvoso,Vendas médias
2024-01-05,Friday,January,Kiwi,Temperada,48.3,6.5,313.95,Ana Tropical,Feira da Estação,Dinheiro,Sim,Chuvoso,Pouco movimento
2024-01-05,Friday,January,Manga,Tropical,31.9,4.2,133.98,João da Fruta,Feira Central,Cartão Débito,Sim,Ensolarado,Concorrência alta
2024-01-05,Friday,January,Banana,Tropical,35.8,3.5,125.3,Maria Frutas,Feira da Estação,Pix,Não,Nublado,Vendas médias
2024-01-05,Friday,January,Maçã,Temperada,24.6,5.0,123.0,João da Fruta,Feira do Parque,Pix,Não,Nublado,Concorrência alta
2024-01-06,Saturday,January,Abacaxi,Tropical,42.3,4.8,203.04,Maria Frutas,Feira da Estação,Dinheiro,Não,Nublado,Concorrência alta
2024-01-06,Saturday,January,Coco,Tropical,7.7,3.7,28.49,Carlos Natureza,Feira da Estação,Dinheiro,Sim,Ensolarado,Produto fresco
2024-01-06,Saturday,January,Kiwi,Temperada,19.3,6.5,125.45,Ana Tropical,Feira do Parque,Cartão Crédito,Sim,Chuvoso,Concorrência alta
2024-01-06,Saturday,January,Maçã,Temperada,48.0,5.0,240.0,João da Fruta,Feira Central,Cartão Débito,Sim,Ensolarado,Concorrência alta
2024-01-06,Saturday,January,Uva,Temperada,49.1,7.0,343.7,Ana Tropical,Feira do Parque,Pix,Não,Ensolarado,Boa procura
2024-01-07,Sunday,January,Mamão,Tropical,37.5,3.0,112.5,Maria Frutas,Feira Central,Pix,Não,Nublado,Concorrência alta
2024-01-07,Sunday,January,Laranja,Cítrica,23.1,3.8,87.78,Carlos Natureza,Feira Bairro Novo,Pix,Não,Chuvoso,Vendas médias
2024-01-07,Sunday,January,Melancia,Tropical,48.5,2.5,121.25,João da Fruta,Feira Central,Pix,Não,Ensolarado,Boa procura
2024-01-07,Sunday,January,Abacaxi,Tropical,43.8,4.8,210.24,Carlos Natureza,Feira Central,Cartão Crédito,Sim,Chuvoso,Boa procura
2024-01-08,Monday,January,Banana,Tropical,8.9,3.5,31.15,Ana Tropical,Feira Central,Cartão Débito,Sim,Chuvoso,Pouco movimento
2024-01-08,Monday,January,Kiwi,Temperada,20.9,6.5,135.85,João da Fruta,Feira Central,Cartão Crédito,Não,Chuvoso,Pouco movimento
2024-01-08,Monday,January,Manga,Tropical,31.8,4.2,133.56,Carlos Natureza,Feira Central,Cartão Débito,Não,Chuvoso,Produto fresco
2024-01-08,Monday,January,Pera,Temperada,11.4,5.2,59.28,Ana Tropical,Feira do Parque,Cartão Crédito,Sim,Chuvoso,Vendas médias
2024-01-08,Monday,January,Manga,Tropical,35.6,4.2,149.52,Carlos Natureza,Feira Bairro Novo,Cartão Débito,Sim,Ensolarado,Vendas médias
2024-01-08,Monday,January,Pera,Temperada,42.0,5.2,218.4,Maria Frutas,Feira Central,Cartão Crédito,Não,Ensolarado,Vendas médias
2024-01-09,Tuesday,January,Mamão,Tropical,36.1,3.0,108.3,Maria Frutas,Feira Bairro Novo,Cartão Crédito,Não,Chuvoso,Boa procura
2024-01-09,Tuesday,January,Pera,Temperada,43.2,5.2,224.64,Carlos Natureza,Feira Bairro Novo,Pix,Sim,Nublado,Pouco movimento
2024-01-09,Tuesday,January,Manga,Tropical,33.7,4.2,141.54,Maria Frutas,Feira Bairro Novo,Cartão Débito,Sim,Chuvoso,Produto fresco
2024-01-10,Wednesday,January,Kiwi,Temperada,46.6,6.5,302.9,Carlos Natureza,Feira Central,Pix,Sim,Ensolarado,Concorrência alta
2024-01-10,Wednesday,January,Coco,Tropical,30.8,3.7,113.96,Carlos Natureza,Feira Central,Dinheiro,Não,Ensolarado,Boa procura
2024-01-10,Wednesday,January,Manga,Tropical,7.9,4.2,33.18,João da Fruta,Feira do Parque,Pix,Não,Chuvoso,Produto fresco
2024-01-11,Thursday,January,Manga,Tropical,21.2,4.2,89.04,Carlos Natureza,Feira do Parque,Dinheiro,Não,Nublado,Produto fresco
2024-01-11,Thursday,January,Pera,Temperada,37.6,5.2,195.52,Carlos Natureza,Feira do Parque,Cartão Crédito,Não,Chuvoso,Boa procura
2024-01-11,Thursday,January,Limão,Cítrica,41.8,2.2,91.96,Carlos Natureza,Feira Bairro Novo,Pix,Não,Nublado,Boa procura
2024-01-11,Thursday,January,Maçã,Temperada,39.2,5.0,196.0,João da Fruta,Feira Central,Pix,Não,Ensolarado,Concorrência alta
2024-01-12,Friday,January,Limão,Cítrica,49.5,2.2,108.9,Carlos Natureza,Feira do Parque,Dinheiro,Sim,Nublado,Produto fresco
